Title,Name_URL,Tag1,Tag2,column,Follow
Crowdpac,https://angel.co/company/crowdpac,San Francisco,Politics,"
Oct ’13
","
160
"
Inside Social,https://angel.co/company/inside-social,Seattle,Optimization,"
Oct ’13
","
218
"
Docurated,https://angel.co/company/docurated,New York City,B2B,"
Oct ’13
","
139
"
Carlypso,https://angel.co/company/carlypso,South San Francisco,Marketplaces,"
Oct ’13
","
209
"
Edmodo,https://angel.co/company/edmodo,San Mateo,Charter Schools,"
Mar ’12
","
252
"
GiveMeTap,https://angel.co/company/givemetap,San Francisco,Location Based Services,"
Jan ’14
","
87
"
Propeller,https://angel.co/company/propeller-2,San Francisco,Web Tools,"
Nov ’13
","
168
"
Laurel & Wolf,https://angel.co/company/laurel-wolf,West Hollywood,Interior Design,"
Apr ’14
","
247
"
Numerous,https://angel.co/company/numerous,Austin,Personal Data,"
May ’14
","
338
"
Binti,https://angel.co/company/binti,Oakland,Adtech,"
Jun ’14
","
249
"
Button,https://angel.co/company/button,New York City,Mobile Commerce,"
Mar ’14
","
415
"
Zycada Networks,https://angel.co/company/zycada-networks,Mountain View,Internet Infrastructure,"
Sep ’15
","
116
"
Catchafire,https://angel.co/company/catchafire-1,New York City,Nonprofits,"
Mar ’12
","
310
"
Huddle,https://angel.co/company/huddle,London,Web Development,"
Jan ’12
","
264
"
Casper,https://angel.co/company/casper,San Francisco,Technology,"
Mar ’14
","
558
"
"PerkHub (Rewardli, Inc)",https://angel.co/company/perkhub,San Francisco,Small and Medium Businesses,"
Apr ’11
","
856
"
Keen,https://angel.co/company/keen-io,San Antonio,Developer APIs,"
Nov ’11
","
1556
"
OUTRO,https://angel.co/company/outro,Salt Lake City,B2B,"
Feb ’14
","
95
"
Buffer,https://angel.co/company/buffer,San Francisco,Small and Medium Businesses,"
Jul ’11
","
2253
"
Rubikloud,https://angel.co/company/rubikloud,Toronto,Cloud Data Services,"
Aug ’13
","
110
"
Synthesio,https://angel.co/company/synthesio-1,New York City,Social Media,"
Mar ’14
","
32
"
Neptune.io,https://angel.co/company/neptune-io,San Mateo,Cloud Management,"
Oct ’14
","
55
"
AppZero,https://angel.co/company/appzero,Andover,Cloud Management,"
Mar ’14
","
11
"
HackerRank,https://angel.co/company/hackerrank,Mountain View,Internet of Things,"
Sep ’14
","
418
"
Subdream Studios,https://angel.co/company/subdream-studios,Los Altos,eSports,"
Nov ’16
","
65
"
Zipline,https://angel.co/company/zipline-international-1,San Francisco,Robotics,"
Jun ’17
","
168
"
Stedi,https://angel.co/company/stedi,Boulder,B2B,"
Dec ’16
","
73
"
Magnar,https://angel.co/company/magnar,Lisbon,Mobile Commerce,"
Jan ’17
","
47
"
Feather,https://angel.co/company/feather,New York City,Subscription,"
Apr ’17
","
171
"
Prefer,https://angel.co/company/prefer-2,San Francisco,Location Based Services,"
May ’17
","
180
"
Huckleberry,https://angel.co/company/huckleberry-insurance,San Francisco,Insurance,"
May ’17
","
50
"
Oracle,https://angel.co/company/oracle-1,Redwood City,Cloud Computing,"
Jan ’12
","
9426
"
Trace,https://angel.co/company/traceup,Silicon Valley,Sensors,"
Aug ’13
","
670
"
VIRES Aeronautics,https://angel.co/company/vires-aeronautics,Berkeley,Defense,"
Jul ’13
","
208
"
PasswordBox,https://angel.co/company/passwordbox,Montreal,Productivity Software,"
Jul ’13
","
118
"
Prophecy Sciences,https://angel.co/company/prophecy-sciences,San Francisco,Human Resources,"
Jul ’13
","
102
"
Cobalt.io,https://angel.co/company/cobalt-io,San Francisco,Crowdsourcing,"
Jul ’13
","
459
"
Vamo,https://angel.co/company/vamo,Seattle,Online Travel,"
Feb ’15
","
62
"
Estify,https://angel.co/company/estify,Los Angeles,SaaS,"
Jun ’13
","
105
"
Kannact,https://angel.co/company/kannact,Portland,Mobile Health,"
Jun ’13
","
46
"
Porch,https://angel.co/company/porchcorp,Seattle,Home Renovation,"
Jun ’13
","
230
"
JazzHR,https://angel.co/company/jazzdotco,Pittsburgh,Social Recruiting,"
Jan ’11
","
289
"
Mixpanel,https://angel.co/company/mixpanel,San Francisco,Mobile Analytics,"
Apr ’11
","
900
"
BoomBoom Prints,https://angel.co/company/boomboom-prints,Minneapolis,Families,"
Jul ’13
","
250
"
BTCjam,https://angel.co/company/btcjam,San Francisco,Finance Technology,"
Aug ’13
","
660
"
Sendbloom,https://angel.co/company/sendbloom,San Francisco,B2B,"
Jul ’13
","
130
"
